Time_Stamp,ID,Extended,Bus,LEN,latitude,longitude,altitude,cabin_temperature,outdoor_temperature,slope,driver_id,route_id,soc_estimation,driver_behavior,estimated_charging_time,maintenance_info,CONTACTORS_ACTIVATE_CHARGE,CONTACTORS_ACTIVATE_COMBINED,CONTACTORS_ACTIVATE_LOAD,CONTACTORS_ACTIVATION_ALLOWED,CONTACTORS_CHARGER_ACTIVATED,CONTACTORS_EMERGENCY_OFF,CONTACTORS_ENABLED,CONTACTORS_LOAD_ACTIVATED,CONTACTORS_COMBINED_ACTIVATED,CONTACTORS_CONTACTOR_RETRIES,Charge_Voltage,Charge_Current,Charger_Enable,Torque_Measured,Speed_Measured,DC_Link_Current,SEQ_Torque,CS_Torque,Torque_Available_Forward,Torque_Available_Reverse,InverterStatus,Torque_Limit_Code,SEQ_Status,CS_Status,Temperature_Remaining,MotorTemperature,DC_Link_Voltage,SEQ_Temp,CS_Temp,Encoder_pos,vehicle_speed,range,Throtle_Pedal,Odometer,Mode_Control,Pre_charge_Status,motor_status,system_failure,charging_status,LV_Battery_rq,brake_malfunction,error_sounds,vehicle_ready,SoC,power_bar,gear_selector_st,close_lcd,Torque_Request,ControlWord,Torque_Traction_Limit,SEQ_Command1,CS_Command1,Torque_Regen_Limit,Speed_Limit_Forward,Speed_Limit_Reverse,SEQ_Command2,CS_Command2,DC_Link_Imax_Discharge,DC_Link_Imax_Recharge,DC_Link_Voltage_Target,SEQ_CurrentLimits,CS_CurrentLimits,high_beam_st,low_beam_st,percenatge_on,kmh_sign_status,right_indicator,left_indicator_st,hazard_feedback,park_brake_st,charging_plug_feedback,brightness_st,brake_oil_st,ignition_on,KL15_ON,R_position_selected,D_position_selected,N_position_selected,seat_belt_st,door_switch,overload_st,DCDC_Status,PACK_Q_SOC_INTERNAL,PACK_Q_SOC_TRIMMED,PACK_Q_REMAINING_HI_RES,HALL_V_HALL_V_LO,HALL_V_HALL_V_HI,PACK_I_HALL,CMU1_Cell_1,CMU1_Cell_2,CMU1_Cell_3,CMU1_Cell_4,CMU1_Cell_5,CMU1_Cell_6,CMU1_Cell_7,CMU1_Cell_8,CMU1_Cell_9,CMU1_Cell_10,CMU1_Cell_11,CMU1_Cell_12,CMU2_Cell_1,CMU2_Cell_2,CMU2_Cell_3,CMU2_Cell_4,CMU2_Cell_5,CMU2_Cell_6,CMU2_Cell_7,CMU2_Cell_8,CMU2_Cell_9,CMU2_Cell_10,CMU2_Cell_11,CMU2_Cell_12,CELL_T_MIN_ID_CMU,CELL_T_MIN_ID_CELL,CELL_T_MAX_ID_CMU,CELL_T_MAX_ID_CELL,CELL_V_MIN_ID_CMU,CELL_V_MIN_ID_CELL,CELL_V_MAX_ID_CMU,CELL_V_MAX_ID_CELL,CELL_V_MIN_VAL,CELL_V_MAX_VAL,CELL_V_AVG,CELL_T_MIN_VAL,CELL_T_MAX_VAL,PACK_Q_REMAINING_NOMINAL,PACK_Q_DESIGN,PACK_Q_FULL,PACK_V_SUM_OF_CELLS,PACK_V_EXT_LOAD,PACK_V_EXT_CHG,Balancing_Allowed,Balancing_Limit,Flags_Balancing_Active,Balancing_Balance_Setting_CMU1,Balancing_Balance_Setting_CMU2,c50001_LOAD,c50002_Charge,c50003_Pre_Charge,FLAGS_FULLY_CHARGED_LATCHED,FLAGS_LOAD_ACTIVE,FLAGS_CHARGER_ACTIVE,FLAGS_PRECHARGE_ACTIVE,FLAGS_CHARGE_REG_ACTIVE,FLAGS_FULLY_CHARGED,Dyn_Lim_I_In,Dyn_Lim_I_Out,Dyn_Lim_i2t_Remain,SOH,STATUS,IO_STATE_INPUT,IO_STATE_OUTPUT,B_WU_CAN,B_WU_IGN,FaultCode,FaultData,SEQ_Fault,CS_Fault,Debug_Id_act,Debug_Iq_act,Debug_Id_ref,Debug_Iq_ref,Debug_Ud,Debug_Uq,Debug_Mod_Index,Debug_Torque_Control,Debug_max_flux,Debug_Iv_lim,Debug_Iq_max,Debug_Ls,CRITICAL_SEVERITY,NORMAL_SEVERITY,LOW_SEVERITY,ACTIVE_COUNT,Total_Number_Errors,Debug_Temps_Junction_0,Debug_Temps_Junction_1,Debug_Temps_Junction_2,Debug_Temps_Junction_3,Debug_Temps_Junction_4,Debug_Temps_Junction_5,Debug_Temps_Motor_Measured,Debug_Temps_Motor_Estimate,Debug_Temps_Cap_Estimate_Fast,Debug_Temps_Track,Debug_Temps_Cap_Estimate_Slow,Debug_Temps_Heatsink,Debug_Temps_Delta_Tj,Debug_Temps_Normalised,Debug_Temps_Coolant,Debug_Temps_Winding
2025-02-24 16:36:53,0x191CFF71,True,can0,8,39.74632783333333,30.473766,866.3,26.78,10.41,-2,user1,0,Calculating,100,13 saat 35 dakika,['1000 km bakımı: Servise gidin.'],0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,125,125,68.0,-68.0,Enabled,0,125,132,48,6,49.5,125,206,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.58,45.910000000000004,1551,2540.3,5100.200000000001,12.5,3300.5,3306.2000000000003,3306.0,3306.3,3306.6000000000004,3305.6000000000004,3304.9,3305.1000000000004,3305.3,3299.4,0.0,55.1,3304.2000000000003,3306.0,3305.1000000000004,3304.9,3302.5,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0,2,0,2,1,10,1,5,3299.4,3306.6000000000004,3304.5,-1,-1,155.10000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,No Fault,0,211,211,21.375,-0.25,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,0,0,0,0,2,9,10,9,11,10,9,6,0,10,10,10,9,1,255,0,0
2025-02-24 16:36:54,0x000007D1,True,can0,8,39.746329333333335,30.473767333333335,866.1,25.33,10.41,-2,user1,0,Calculating,100,13 saat 55 dakika,['1000 km bakımı: Servise gidin.'],0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,225,225,68.0,-68.0,Enabled,0,225,232,48,6,49.5,225,50,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.58,45.910000000000004,1551,2539.1000000000004,5100.1,12.200000000000001,3300.6000000000004,3306.1000000000004,3306.0,3306.2000000000003,3306.5,3305.6000000000004,3305.0,3305.2000000000003,3305.3,3299.4,0.1,55.1,3304.3,3306.0,3305.1000000000004,3305.0,3302.5,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0,2,0,2,1,10,1,5,3299.4,3306.5,3304.5,-1,-1,155.10000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,No Fault,0,216,216,21.5625,0.0625,21.8125,0.0,0.4375,0.0,0.0234375,0.0,0,0,0,0.0,0,0,0,0,2,9,10,9,11,10,9,6,0,10,10,10,9,1,255,0,0
2025-02-24 16:36:55,0x191171FA,True,can0,8,39.746331833333336,30.473770166666668,865.8,25.33,10.41,-2,user1,0,Calculating,100,13 saat 55 dakika,['1000 km bakımı: Servise gidin.'],0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,68,68,68.0,-68.0,Enabled,0,68,75,48,6,49.5,68,149,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.58,45.910000000000004,1551,2538.9,5099.3,12.200000000000001,3300.7000000000003,3306.3,3306.2000000000003,3306.3,3306.6000000000004,3305.7000000000003,3305.0,3305.1000000000004,3305.2000000000003,3299.4,0.1,55.1,3304.3,3305.9,3305.1000000000004,3305.0,3302.5,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0,2,0,2,1,10,1,5,3299.4,3306.6000000000004,3304.6000000000004,-1,-1,155.10000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,No Fault,0,221,221,21.4375,0.0625,21.8125,0.0,0.5,0.0,0.0234375,0.0,0,0,0,0.0,0,0,0,0,2,9,10,9,11,10,10,6,0,10,10,10,9,1,255,0,0
2025-02-24 16:36:56,0x00000A00,True,can0,8,39.7463355,30.473773,865.3,25.33,10.45,-2,user1,0,Calculating,100,13 saat 41 dakika,['1000 km bakımı: Servise gidin.'],0,0,1,1,0,0,1,1,0,1,54.800000000000004,0.0,Enable,0.0,0,0,140,140,68.0,-68.0,Enabled,0,140,147,48,6,49.5,140,221,-11556.312515258789,0.0,68,0,1055.9,Load_Mode,Not_PreCharge,OFF,OFF,OFF,OFF,OFF,No error,ON,46,0,N_position,0,0.0,5,75.0,0,0,-400.0,4700,-1100,0,0,228,0,0.0,0,0,OFF,OFF,ON,OFF,OFF,OFF,OFF,ON,OFF,Night mode,OFF,ON,ON,Not pressed,Not pressed,Pressed,OFF,OFF,OFF,0,47.58,45.910000000000004,1551,2540.1000000000004,5099.8,12.4,3300.5,3306.2000000000003,3306.2000000000003,3306.2000000000003,3306.5,3305.6000000000004,3305.0,3305.0,3305.2000000000003,3299.4,0.0,55.1,3304.2000000000003,3305.9,3305.1000000000004,3305.0,3302.4,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0,2,0,2,1,10,1,5,3299.4,3306.5,3304.5,-1,-1,155.10000000000002,326.0,326.0,49.6,225.9,225.9,1,3350.0,1,0,0,1,0,0,0,1,0,0,1,0,0.0,228.20000000000002,711480,100.0,Active,51,0,1,0,No Fault,0,224,224,22.0,0.0625,21.8125,0.0,0.4375,0.0,0.01953125,0.0,0,0,0,0.0,0,0,0,0,2,9,10,9,11,10,9,6,0,10,10,10,9,1,255,0,0
